Operation,Total Time,Average Time,Run Count
extensible.SVG(),00m 50s,00m 50s,1
extensible.SVG.doInit(),00m 00s,00m 00s,2
extensible.SVG.doNextTimeline(),00m 02s,00m 01s,2
extensible.SVG._getTimeline(),00m 03s,00m 00s,10
extensible.SVG.hasTweensInRange(),00m 01s,00m 00s,10
extensible.SVG._getTimeline() >> Check break apart tweens,00m 02s,00m 01s,2
extensible.SVG._getTimeline() >> Get frame items,00m 00s,00m 00s,75
extensible.SVG._getTimeline() >> Collate frames,00m 00s,00m 00s,7
extensible.SVG._getTimeline() >> Get keyframes,00m 00s,00m 00s,7
extensible.SVG._getShape(),00m 39s,00m 00s,151
extensible.SVG._getSymbolInstance(),00m 01s,00m 00s,9
extensible.SVG.checkExpand(),00m 01s,00m 00s,702
extensible.SVG.executeExpandUse(),00m 00s,00m 00s,167
extensible.SVG.simplifyFrame(),00m 01s,00m 00s,76
extensible.SVG.processFinaliseDocuments(),00m 00s,00m 00s,2
extensible.SVG._applyColorEffects(),00m 00s,00m 00s,352
extensible.SVG.processFixUseLinks(),00m 00s,00m 00s,2
extensible.SVG.processCompactColours(),00m 00s,00m 00s,2
extensible.SVG.processRemoveZeros(),00m 00s,00m 00s,2
extensible.SVG.processSimplifyOnes(),00m 00s,00m 00s,2
extensible.SVG.processRemoveIdentMatrices(),00m 00s,00m 00s,2
extensible.SVG.processSimplifyMatrices(),00m 00s,00m 00s,2
extensible.SVG.processConvertHairlineStrokes(),00m 00s,00m 00s,2
